,Dates,Year,SALES_REV_TURN,IS_COGS_TO_FE_AND_PP_AND_G,GROSS_PROFIT,IS_OPER_INC,EBITDA,IS_INC_TAX_EXP,EBIT,IS_INT_EXPENSE,IS_INT_INC,IS_NET_INTEREST_EXPENSE,IS_DEPR_EXP,IS_INVEST_INCOME,BS_TOT_ASSET,TOTAL_EQUITY,BS_TOT_LIAB2,BS_ST_DEBT,BS_LT_BORROW,C&CE_AND_STI_DETAILED,BS_SH_OUT,BS_CUR_ASSET_REPORT,BS_CUR_LIAB,BS_ACCT_NOTE_RCV,ACCT_PAYABLE_&_ACCRUALS_DETAILED,BS_ACCT_PAYABLE,BS_ACCTS_REC_EXCL_NOTES_REC,BS_INVENTORIES,CF_CASH_FROM_OPER,CF_CASH_FROM_INV_ACT,CF_CASH_FROM_FNC_ACT,GICS_SECTOR,GICS_INDUSTRY_GROUP,GICS_INDUSTRY,GICS_SUB_INDUSTRY,ARD_NET_INC,SHORT_TERM_DEBT_DETAILED,LONG_TERM_BORROWINGS_DETAILED,symbol
1148,31/12/2011,2011,36529,28556,7973,2574,3531,417,2574,376,58,318,699,NA,39808,10902,28906,659,6881,3698,774.7,16134,12275,5824,11539,4738,5824,4264,2833,-611,-1174,NA,NA,NA,NA,2067,659,6881,HON US EQUITY
1149,31/12/2012,2012,37665,28291,9374,4156,5082,944,4156,351,58,293,660,NA,41853,13065,28788,476,6395,5265,782.8,17598,13045,5934,11911,4736,5934,4235,3517,-1428,-1153,NA,NA,NA,NA,2926,476,6395,HON US EQUITY
1150,31/12/2013,2013,39055,28364,10691,5501,6490,1450,5501,327,69,258,670,NA,45435,17579,27856,1396,6801,6422,783.8,21164,14181,5921,12118,5174,5921,4293,4335,-1959,-588,NA,NA,NA,NA,3924,1396,6801,HON US EQUITY
1151,31/12/2014,2014,40306,28957,11349,5831,6755,1489,5831,318,102,216,667,NA,45451,17784,27667,1698,6046,9104,782.2,22191,14773,6152,12126,5365,6152,4405,5080,-1876,-2667,NA,NA,NA,NA,4239,1698,6046,HON US EQUITY
1152,31/12/2015,2015,38581,26747,11834,6828,7711,1739,6828,310,104,206,672,NA,49316,18708,30608,5937,5554,7558,770.4,20053,18371,6311,11840,5580,6311,4420,5519,-6514,-509,NA,NA,NA,NA,4768,5937,5554,HON US EQUITY
1153,31/12/2016,2016,39302,27677,11625,6051,7081,1603,6051,338,106,232,726,NA,54146,19550,34596,3366,12182,9874,760.8,23058,16331,6823,12736,5690,6823,4366,5498,-3342,232,NA,NA,NA,NA,4812,3366,12182,HON US EQUITY
1154,31/12/2017,2017,40534,28144,12390,6303,7418,5362,6303,316,151,165,717,NA,59470,16670,42800,3958,12573,10817,750.9,26002,18861,7215,13482,6584,7215,4613,5966,-3574,-3176,NA,NA,NA,NA,1545,3958,12573,HON US EQUITY
1155,31/12/2018,2018,41802,29046,12756,6705,7821,659,6705,367,217,150,721,NA,57773,18365,39408,3586,9756,10910,729.6,24362,18924,6162,12462,5607,6162,4326,6434,1027,-5233,NA,NA,NA,NA,6765,3586,9756,HON US EQUITY
1156,31/12/2004,2004,4416.389,2672.716,1743.673,876.569,1066.234,235.399,876.569,67.919,1.386,66.533,171.229,NA,3797.531,1089.302,2708.229,NA,690.602,54.837,246.5879,1182.441,1285.382,408.93,148.686,148.686,408.93,557.18,797.45,-362.745,-494.661,NA,NA,NA,NA,574.637,NA,NA,HSY US EQUITY
1157,31/12/2005,2005,4819.827,2956.682,1863.145,950.159,1168.191,277.09,950.159,89.485,1.5,87.985,200.132,NA,4262.699,1016.38,3246.319,NA,942.755,67.183,240.5241,1376.403,1490.382,507.119,167.812,167.812,507.119,634.91,461.762,-238.666,-210.75,NA,NA,NA,NA,488.547,NA,NA,HSY US EQUITY
1158,31/12/2006,2006,4944.23,3076.718,1867.512,1007.134,1207.045,317.441,1007.134,117.738,1.682,116.056,181.038,NA,4157.565,683.423,3474.142,NA,1248.128,97.141,230.2636,1417.812,1453.538,522.673,155.517,155.517,522.673,648.82,723.193,-215.512,-477.723,NA,NA,NA,NA,559.061,NA,NA,HSY US EQUITY
1159,31/12/2007,2007,4946.716,3315.147,1631.569,735.695,1046.62,126.088,735.695,121.066,2.481,118.585,292.658,NA,4247.113,623.52,3623.593,NA,1279.965,129.198,227.0499,1426.574,1618.77,487.285,223.019,223.019,487.285,600.185,778.836,-304.353,-442.426,NA,NA,NA,NA,214.154,NA,NA,HSY US EQUITY
